Windows PowerShell
Copyright (C) Microsoft Corporation. All rights reserved.

PS C:\Users\acer\Desktop\CSI_Project> py test_serial.py
Python script started
ESP32 connected successfully!
Waiting for CSI data...
CSI,118,-32,6,0,0,0,0,0,0,0,2,-2,8,-5,6,-4,3,-2,-1,0,-4,2,-7,4,-10,6,-12,7,-14,9,-16,10,-17,11,-18,11,-17,12,-16,11,-15,10,-12,9,-10,7,-7,5,-4,2,-1,-1,2,-4,5,-7,7,-10,10,-13,11,-15,12,-17,6,-10,13,-20,13,-20,12,-19,11,-18,9,-16,7,-13,5,-9,3,-5,1,0,-1,4,-3,9,-4,14,-6,18,-7,21,-7,24,-7,26,-8,27,-7,27,-7,25,-6,23,-5,20,-5,16,-4,11,-4,6,-4,0,-4,-5,-1,-2,0,0,0,0,0,0,0,0,88,0,0,0,-34,6,-34,6,-34,7,-33,6,-32,6,-33,6,-32,6,-32,5,-32,6,-32,6,-31,5,-30,5,-29,5,-30,6,-29,6,-29,5,-29,6,-28,6,-28,6,-27,5,-27,4,-27,5,-27,6,-27,6,-25,6,-27,6,-26,6,-25,7,-25,6,-25,6,-25,5,-24,5,-24,6,-25,7,-23,5,-23,7,-23,6,-23,6,-22,5,-23,6,-23,5,-22,6,-22,6,-23,7,-22,6,-22,4,-21,4,-21,5,-22,3,-21,4,-21,4,-21,4,-20,5,-21,3,-22,3,-21,3,-20,2,0,0,0,0,0,0,0,0,-5,-19,-5,-18,-5,-19,-5,-19,-4,-19,-4,-20,-4,-20,-5,-19,-4,-20,-3,-20,-4,-20,-3,-21,-3,-21,-4,-21,-4,-21,-3,-21,-4,-21,-3,-22,-2,-22,-3,-21,-4,-23,-3,-22,-3,-22,-4,-23,-3,-23,-4,-23,-3,-23,-4,-24,-4,-25,-4,-25,-4,-24,-6,-25,-5,-24,-5,-25,-5,-25,-5,-27,-5,-27,-5,-27,-6,-27,-5,-27,-5,-28,-5,-29,-5,-29,-7,-30,-5,-30,-6,-30,-6,-31,-6,-31,-6,-31,-6,-30,-7,-32,-6,-33,-6,-34,-7,-33,-8,-33,-8,-34,-7,-33,0,0,88,0,0,0,-26,-5,-25,-5,-27,-4,-25,-4,-27,-4,-27,-5,-26,-4,-25,-3,-25,-3,-25,-3,-24,-3,-25,-3,-24,-3,-24,-3,-24,-3,-23,-3,-22,-2,-23,-1,-23,-1,-23,0,-24,-1,-23,-1,-23,-1,-22,0,-21,-1,-22,0,-21,0,-22,1,-22,1,-23,0,-22,0,-22,0,-21,1,-22,1,-22,0,-21,1,-21,1,-22,0,-21,0,-21,0,-20,-1,-21,1,-22,1,-22,1,-22,0,-22,0,-22,-1,-21,-1,-20,-2,-21,-2,-21,-2,-21,-2,-22,-3,-21,-2,-21,-2,-21,-4,-19,-4,0,0,0,0,0,0,0,0,2,-18,2,-19,2,-18,2,-18,3,-19,3,-19,3,-18,4,-18,4,-20,5,-20,4,-19,5,-20,5,-20,4,-19,4,-20,4,-20,5,-20,5,-20,6,-20,5,-21,5,-19,5,-20,5,-20,5,-21,6,-22,6,-22,6,-22,6,-21,6,-21,5,-22,5,-22,5,-22,5,-23,6,-23,6,-23,6,-22,5,-23,6,-24,5,-24,5,-25,6,-25,6,-25,6,-25,6,-25,5,-25,6,-25,5,-26,5,-25,7,-26,6,-26,7,-26,6,-26,6,-27,5,-25,4,-26,4,-27,4,-27,0,0
CSI,118,-32,6,0,0,0,0,0,0,0,-1,1,-2,4,-1,3,2,2,4,2,7,3,9,4,10,6,11,8,10,11,9,13,8,14,6,14,4,13,2,12,2,10,2,8,3,6,4,4,7,3,9,2,11,3,13,4,14,5,15,7,15,8,15,9,7,4,12,10,11,9,10,8,10,7,10,5,11,4,12,2,13,1,14,0,15,0,17,0,18,0,19,0,19,1,19,1,19,1,19,1,19,0,18,0,19,-1,19,-2,19,-2,19,-3,18,-3,18,-4,18,-5,4,-2,0,0,0,0,0,0,0,0,-110,0,0,0,-7,0,-5,-1,-6,-1,-6,-2,-8,-3,-8,-2,-9,-1,-9,-1,-8,-1,-8,-1,-7,-2,-9,-2,-9,-4,-10,-2,-10,-3,-9,-3,-9,-4,-10,-3,-9,-2,-9,-4,-9,-4,-10,-4,-8,-4,-9,-4,-8,-3,-8,-3,-9,-4,-9,-4,-9,-4,-9,-4,-10,-3,-9,-4,-8,-4,-9,-4,-8,-6,-9,-5,-7,-5,-8,-5,-8,-5,-8,-6,-8,-5,-9,-5,-8,-5,-7,-6,-7,-6,-7,-7,-8,-7,-7,-6,-7,-6,-6,-7,-6,-7,-6,-7,-6,-7,-5,-7,-6,-7,-6,-6,-4,-7,0,0,0,0,0,0,0,0,11,-5,11,-6,9,-6,11,-6,10,-5,11,-4,11,-3,11,-4,12,-3,11,-2,11,-2,10,-2,11,-1,10,-1,11,0,11,0,11,0,10,1,10,1,8,0,9,1,8,2,10,1,9,2,9,1,8,2,8,1,6,2,7,2,6,3,7,2,6,2,5,1,6,1,5,1,4,1,5,2,4,1,4,1,4,1,3,2,4,-1,3,0,3,0,2,-1,2,0,2,-1,2,-1,2,-1,2,-3,1,-3,1,-3,0,-4,1,-3,0,-3,1,-3,1,-6,0,0,-110,0,0,0,-3,-41,-2,-42,-2,-42,-2,-41,-2,-40,-2,-42,-1,-39,-2,-39,0,-39,-1,-39,-1,-38,1,-38,0,-38,2,-36,1,-36,2,-36,3,-36,3,-35,2,-36,2,-34,4,-34,2,-34,4,-32,3,-31,3,-31,4,-30,4,-31,6,-29,5,-29,5,-29,5,-28,4,-28,4,-26,4,-27,5,-26,5,-25,5,-25,6,-24,5,-23,5,-24,5,-23,5,-23,7,-22,6,-21,6,-20,5,-20,6,-19,6,-17,4,-18,6,-18,5,-18,6,-18,5,-16,7,-16,6,-15,7,-15,5,-17,0,0,0,0,0,0,0,0,13,-10,14,-10,15,-11,15,-11,15,-9,17,-9,16,-10,17,-9,17,-10,18,-9,17,-9,18,-9,20,-8,19,-8,20,-9,19,-9,19,-8,21,-8,21,-8,21,-9,22,-7,22,-9,23,-7,22,-8,24,-8,24,-9,24,-8,25,-8,25,-9,26,-9,25,-9,26,-9,28,-9,28,-8,28,-9,29,-9,29,-8,30,-8,31,-7,31,-8,33,-8,32,-8,33,-9,33,-8,35,-8,35,-8,36,-8,36,-7,37,-7,37,-7,37,-6,39,-6,40,-6,40,-6,38,-6,40,-4,39,-5,0,0
CSI,-43,80,13,0,0,0,0,0,0,0,-1,2,-2,9,0,8,3,7,6,6,10,6,13,6,15,7,17,8,20,9,21,10,22,12,22,13,21,13,19,13,18,11,16,9,14,7,13,4,11,0,10,-5,9,-9,10,-15,11,-20,13,-24,14,-27,16,-29,9,-15,20,-30,20,-29,20,-26,19,-23,16,-20,12,-16,8,-13,3,-10,-2,-8,-8,-7,-14,-7,-19,-8,-23,-10,-26,-12,-28,-15,-28,-18,-27,-20,-24,-20,-21,-21,-17,-20,-13,-17,-10,-13,-7,-9,-5,-4,-3,1,-3,5,-1,1,0,0,0,0,0,0,0,0
CSI,118,-32,6,0,0,0,0,0,0,0,-3,0,-12,2,-10,1,-8,0,-6,-1,-4,-4,-2,-6,-1,-8,0,-11,1,-13,1,-15,1,-17,0,-18,-1,-19,-1,-19,-2,-18,-3,-16,-3,-14,-2,-12,0,-9,1,-6,4,-4,6,-2,9,0,12,1,15,1,17,1,10,0,22,0,22,-1,21,-3,20,-3,18,-4,16,-4,13,-3,10,-1,7,1,4,4,2,8,0,12,-1,16,-1,20,-1,23,0,25,1,26,3,27,4,26,4,25,4,22,4,19,3,16,0,12,-3,8,-6,6,-2,1,0,0,0,0,0,0,0,0,64,0,0,0,6,40,7,39,6,39,8,39,7,38,7,38,6,38,6,38,6,38,7,38,6,37,7,36,7,35,6,36,7,36,6,36,7,36,6,35,6,35,6,34,7,33,7,34,6,33,5,34,6,32,6,32,7,32,6,32,6,32,6,32,5,31,5,31,6,31,6,31,6,30,6,30,4,29,4,30,4,29,5,30,5,30,6,30,5,29,5,29,4,29,4,29,4,28,3,28,3,28,3,28,3,28,2,27,1,27,0,27,0,28,1,27,0,27,0,0,0,0,0,0,0,0,-19,4,-20,5,-20,5,-20,4,-21,4,-21,3,-21,4,-21,3,-21,3,-21,3,-22,3,-22,3,-23,3,-23,4,-23,2,-24,2,-23,3,-24,3,-24,2,-25,2,-25,2,-24,2,-25,3,-25,3,-26,3,-26,3,-25,3,-27,2,-27,3,-27,3,-28,4,-29,4,-28,4,-29,3,-29,3,-30,4,-31,4,-30,5,-32,5,-32,4,-32,5,-32,5,-33,5,-34,5,-34,5,-35,6,-36,6,-35,6,-35,6,-36,6,-37,6,-38,6,-39,6,-38,8,-39,8,-39,6,-39,7,0,0,64,0,0,0,-10,20,-9,20,-8,22,-8,21,-8,21,-9,21,-10,21,-9,21,-8,21,-7,21,-7,20,-7,21,-7,20,-8,21,-7,20,-7,20,-8,19,-7,20,-7,20,-6,20,-6,20,-6,20,-6,20,-6,19,-7,19,-6,19,-5,19,-5,20,-5,21,-5,20,-5,19,-5,19,-5,20,-4,20,-4,19,-5,20,-5,20,-5,20,-6,19,-6,20,-5,19,-4,20,-5,20,-4,20,-5,20,-6,20,-6,20,-7,20,-6,18,-6,19,-6,20,-7,20,-8,19,-8,19,-8,19,-9,18,-7,18,0,0,0,0,0,0,0,0,-10,-7,-10,-7,-11,-7,-10,-7,-11,-8,-11,-7,-10,-7,-11,-8,-11,-8,-11,-8,-11,-8,-11,-8,-11,-9,-11,-8,-11,-8,-12,-8,-12,-9,-12,-9,-12,-9,-12,-8,-11,-9,-12,-8,-13,-8,-13,-9,-15,-9,-14,-9,-14,-9,-14,-10,-14,-10,-14,-10,-14,-9,-14,-9,-15,-9,-15,-10,-15,-10,-15,-10,-15,-9,-16,-10,-16,-10,-17,-9,-16,-10,-17,-10,-17,-11,-18,-10,-17,-9,-18,-9,-18,-9,-19,-9,-19,-10,-20,-10,-20,-11,-20,-10,-19,-10,-20,-9,-20,-9,-21,-10,-21,-9,0,0
CSI,118,-32,6,0,0,0,0,0,0,0,2,0,8,1,5,0,1,-2,-3,-4,-6,-7,-9,-10,-12,-12,-14,-14,-15,-16,-16,-17,-16,-18,-16,-19,-14,-19,-13,-18,-11,-15,-9,-12,-7,-9,-5,-5,-3,-1,-2,4,0,8,1,12,1,16,2,20,2,23,2,24,0,13,0,26,0,25,0,23,-1,20,0,16,0,12,1,7,2,1,3,-4,4,-9,6,-14,8,-19,10,-23,12,-26,14,-27,15,-28,16,-28,16,-26,15,-23,13,-20,11,-17,7,-12,3,-8,-2,-3,-7,1,-11,4,-4,1,0,0,0,0,0,0,0,0,112,0,0,0,11,30,11,29,11,28,11,28,11,27,10,28,9,27,9,27,9,27,10,27,9,27,10,26,8,25,8,26,8,25,9,26,9,25,8,25,8,24,8,24,9,24,8,23,7,25,8,24,8,23,8,23,8,23,8,22,7,23,8,23,8,23,8,23,6,23,7,23,7,23,7,22,6,22,5,22,5,23,7,24,5,24,6,24,5,24,4,23,4,24,4,23,3,24,2,23,2,23,3,24,2,24,1,24,0,23,-1,22,-2,23,-2,24,-2,24,0,0,0,0,0,0,0,0,-13,14,-14,14,-14,14,-15,15,-15,14,-15,13,-15,13,-16,13,-15,12,-15,11,-16,12,-17,11,-17,12,-17,12,-17,13,-17,11,-18,13,-17,11,-18,10,-18,11,-18,13,-18,12,-18,12,-19,12,-19,11,-20,12,-19,13,-21,13,-21,12,-20,13,-21,13,-21,13,-21,13,-21,12,-21,12,-22,13,-23,13,-23,13,-23,14,-23,13,-25,12,-25,12,-26,13,-26,12,-27,14,-27,13,-27,14,-27,13,-27,12,-27,12,-28,12,-29,12,-30,13,-29,12,-28,13,-29,11,-29,11,0,0,112,0,0,0,11,35,11,35,10,36,12,35,11,36,10,36,8,35,8,34,9,34,9,33,9,32,9,33,8,32,6,32,7,31,7,31,7,31,6,30,6,29,7,30,8,30,6,28,5,29,5,28,5,27,6,27,7,27,6,27,5,27,6,27,5,27,5,26,5,25,5,26,5,25,5,26,5,25,4,26,3,25,5,25,4,24,5,25,3,24,5,25,4,25,3,25,3,25,2,24,3,24,2,24,3,25,2,24,1,24,0,25,-1,25,0,24,-1,23,0,0,0,0,0,0,0,0,-17,16,-18,16,-17,15,-19,16,-19,15,-19,15,-18,15,-19,14,-21,14,-21,14,-21,13,-22,13,-23,14,-22,13,-22,13,-23,13,-23,14,-23,13,-22,12,-23,13,-23,12,-23,12,-25,13,-25,12,-26,12,-25,12,-25,11,-26,12,-26,12,-26,12,-25,12,-26,12,-27,13,-28,12,-27,12,-27,13,-28,13,-28,13,-29,13,-30,13,-30,13,-31,12,-31,13,-31,12,-31,13,-30,14,-32,14,-32,14,-32,13,-34,13,-34,12,-34,13,-35,13,-35,14,-35,13,-36,12,-36,12,0,0
CSI,118,-32,6,0,0,0,0,0,0,0,2,1,7,4,7,2,6,-1,6,-4,8,-7,9,-9,11,-11,13,-12,15,-12,17,-11,18,-11,19,-9,19,-7,17,-6,15,-4,12,-4,10,-4,7,-5,4,-7,1,-9,-1,-12,-2,-15,-3,-18,-3,-20,-2,-23,-1,-24,0,-12,3,-24,4,-22,4,-20,4,-18,3,-15,1,-12,-2,-9,-5,-8,-9,-6,-13,-6,-17,-6,-20,-7,-23,-9,-24,-11,-25,-13,-24,-15,-23,-16,-21,-16,-19,-15,-16,-14,-14,-11,-12,-7,-11,-3,-11,1,-12,6,-13,9,-4,2,0,0,0,0,0,0,0,0,-127,0,0,0,5,18,4,18,3,17,4,18,3,18,2,17,2,17,2,16,2,16,1,16,1,16,1,16,0,16,0,15,0,15,0,15,0,15,0,15,-1,13,-1,14,0,14,-1,14,-2,14,-2,13,-1,12,-2,12,-2,12,-1,12,-2,12,-2,14,-2,12,-2,12,-3,12,-3,12,-3,13,-3,11,-3,12,-3,12,-3,11,-3,13,-4,12,-3,12,-4,12,-5,11,-6,11,-5,12,-6,12,-7,12,-6,10,-7,11,-7,11,-9,11,-7,10,-7,10,-9,10,-9,10,-10,9,0,0,0,0,0,0,0,0,2,12,1,13,1,12,1,13,0,13,0,13,-1,13,-2,13,-2,13,-2,13,-3,13,-4,13,-5,14,-3,14,-4,14,-5,13,-5,14,-6,13,-7,12,-6,13,-7,13,-7,12,-7,13,-8,13,-8,12,-10,13,-9,13,-10,13,-10,12,-9,12,-11,12,-11,12,-10,12,-12,12,-11,12,-11,12,-13,11,-13,12,-13,11,-14,11,-15,10,-14,11,-15,11,-15,10,-16,10,-16,9,-17,10,-17,9,-18,9,-17,8,-18,8,-18,8,-18,8,-18,7,-18,8,-19,5,-19,6,0,0,-127,0,0,0,15,36,15,37,14,38,14,37,13,37,12,37,10,37,10,37,9,38,9,37,8,36,7,36,6,36,5,35,5,36,4,35,3,35,2,35,2,34,2,35,1,34,1,34,-1,34,-1,32,-2,32,-2,32,-3,33,-4,32,-5,31,-5,31,-5,31,-6,31,-6,29,-7,29,-7,29,-8,29,-8,28,-11,28,-10,28,-10,29,-10,28,-11,28,-13,27,-13,27,-13,25,-14,26,-15,25,-16,24,-15,23,-17,23,-17,22,-18,22,-18,20,-19,21,-21,20,-21,19,-21,19,0,0,0,0,0,0,0,0,4,24,4,24,3,25,2,26,0,25,0,25,-1,25,-2,26,-3,26,-4,26,-4,26,-5,27,-7,27,-7,26,-8,26,-8,27,-8,27,-10,27,-11,25,-11,27,-12,26,-12,26,-13,26,-14,26,-15,26,-15,26,-15,25,-17,26,-16,26,-17,25,-18,26,-19,24,-19,25,-21,24,-21,25,-21,25,-22,25,-23,25,-24,25,-25,24,-25,24,-26,24,-27,24,-27,23,-27,24,-28,24,-29,23,-30,23,-29,22,-32,21,-32,21,-33,21,-35,20,-35,21,-35,20,-36,19,-36,19,0,0
CSI,118,-32,6,0,0,0,0,0,0,0,-1,-1,-4,-2,-3,-2,-1,-2,1,-2,2,-2,4,-2,5,-2,6,-2,7,-2,8,-3,8,-3,8,-3,8,-3,7,-3,6,-2,5,-2,3,-1,2,0,0,1,-1,2,-3,3,-4,4,-5,5,-6,6,-7,7,-7,7,-4,4,-7,8,-7,8,-6,7,-5,6,-5,5,-4,3,-3,1,-2,-1,-1,-3,0,-5,0,-8,1,-10,1,-11,1,-13,0,-14,0,-14,-1,-14,-1,-13,-1,-12,-1,-11,-1,-8,-1,-6,0,-4,0,-1,1,2,2,4,0,1,0,0,0,0,0,0,0,0,82,0,0,0,27,-19,26,-19,25,-18,24,-18,26,-18,25,-17,23,-18,24,-18,24,-18,22,-18,23,-18,21,-18,20,-17,21,-20,21,-19,21,-18,19,-20,19,-18,19,-17,18,-18,16,-17,17,-18,18,-20,18,-19,16,-19,16,-18,15,-19,15,-20,15,-19,15,-20,14,-19,14,-19,13,-20,13,-20,14,-19,11,-19,12,-19,13,-19,13,-19,13,-20,12,-19,12,-19,11,-21,12,-21,13,-19,11,-20,12,-19,13,-19,12,-17,11,-20,12,-20,12,-19,12,-19,12,-19,13,-20,13,-18,12,-18,0,0,0,0,0,0,0,0,5,16,5,17,5,18,5,18,4,18,6,18,5,18,4,18,5,18,5,19,5,19,3,18,5,20,5,20,5,20,4,20,4,20,5,21,6,19,5,20,5,20,6,20,6,21,7,20,7,21,7,22,7,22,7,21,7,22,9,20,8,22,9,22,9,22,10,23,9,23,9,23,11,24,11,23,11,24,12,23,10,24,12,24,12,25,12,25,13,24,12,25,13,26,15,25,14,26,15,25,15,26,15,26,15,26,17,27,17,25,16,27,18,26,0,0,82,0,0,0,25,-19,25,-19,25,-18,24,-18,24,-18,25,-18,23,-18,23,-18,24,-18,22,-18,22,-18,22,-17,22,-18,22,-19,20,-18,22,-18,21,-18,20,-18,20,-18,19,-19,18,-18,18,-18,19,-19,18,-19,18,-19,18,-19,18,-19,16,-19,17,-19,17,-19,17,-19,17,-18,15,-19,17,-19,17,-18,15,-19,16,-17,16,-18,16,-18,15,-17,15,-18,15,-18,15,-18,15,-18,14,-17,15,-18,14,-17,15,-17,15,-18,14,-16,14,-17,15,-16,15,-16,16,-16,14,-17,13,-17,15,-14,0,0,0,0,0,0,0,0,2,13,0,13,2,14,2,14,2,14,3,14,2,14,2,14,2,15,2,13,3,14,3,14,3,15,3,16,2,14,3,16,4,15,5,17,3,15,2,17,4,15,3,16,5,17,4,16,5,17,6,18,5,18,6,17,7,18,6,17,7,19,6,18,6,18,7,19,7,20,8,19,9,19,9,19,10,20,11,20,10,20,10,22,11,21,11,22,11,23,12,21,12,21,12,23,13,22,13,23,14,24,15,24,13,24,15,25,15,25,16,25,16,25,0,0
CSI,118,-32,6,0,0,0,0,0,0,0,1,-3,5,-11,3,-10,0,-7,-3,-5,-7,-3,-10,-1,-13,1,-16,2,-19,3,-21,3,-23,3,-24,3,-24,3,-23,2,-21,2,-18,2,-15,2,-11,2,-7,2,-3,3,1,3,6,4,10,6,13,7,16,8,18,9,10,5,21,11,20,11,20,11,18,11,15,10,12,8,9,6,6,3,2,0,-2,-3,-5,-7,-8,-10,-10,-14,-12,-17,-13,-20,-14,-22,-13,-23,-13,-23,-12,-23,-10,-21,-8,-19,-6,-15,-3,-11,-1,-7,0,-1,1,3,0,1,0,0,0,0,0,0,0,0,100,0,0,0,28,-4,28,-5,27,-5,27,-4,27,-4,26,-3,26,-3,26,-3,26,-3,26,-2,25,-2,25,-2,24,-1,24,-2,24,-1,24,-1,24,-2,23,-2,23,-2,22,-1,20,0,21,-1,21,-1,21,0,20,0,21,0,20,-1,19,-1,20,-1,19,0,19,0,18,0,19,-1,19,-1,17,0,17,-1,17,0,17,0,16,-1,18,0,17,1,17,-1,17,-2,18,-2,17,-1,16,0,16,0,17,0,17,1,16,-1,16,0,16,1,16,0,16,1,17,1,17,1,17,2,0,0,0,0,0,0,0,0,11,12,10,12,10,13,10,14,10,14,10,15,10,14,10,15,9,15,8,14,8,15,8,16,9,17,10,16,9,17,8,16,8,15,8,17,7,17,6,17,7,17,6,17,7,18,8,18,7,18,7,18,6,18,7,19,7,20,7,20,7,20,8,19,7,19,6,20,7,21,7,22,6,21,7,22,7,22,7,23,6,23,6,23,6,24,6,24,5,24,6,24,6,25,6,25,6,25,6,25,6,26,5,27,5,28,6,27,7,27,5,27,5,27,0,0,100,0,0,0,24,4,24,3,26,4,25,3,25,3,25,3,24,4,24,3,23,2,24,2,22,2,23,3,22,3,23,3,23,3,22,3,21,2,21,1,21,2,21,2,22,1,22,2,21,1,20,1,20,2,20,1,21,2,20,0,21,1,21,2,20,1,21,2,20,1,21,0,21,1,20,0,21,1,20,1,20,2,21,3,19,2,22,2,22,2,22,2,22,3,22,4,21,4,21,4,20,5,21,5,21,5,21,7,21,6,21,7,21,7,19,9,19,9,0,0,0,0,0,0,0,0,7,24,7,24,5,25,5,25,4,25,4,25,3,24,2,25,2,26,0,26,0,26,0,26,-1,27,-1,26,-2,25,-2,26,-2,26,-3,26,-3,26,-4,25,-4,24,-4,23,-4,25,-4,25,-5,26,-5,25,-5,25,-6,25,-6,24,-6,24,-6,24,-5,24,-6,24,-6,25,-7,24,-6,24,-5,23,-6,24,-6,24,-5,25,-6,24,-6,25,-6,24,-6,24,-6,24,-7,24,-6,24,-6,25,-7,24,-6,25,-6,24,-6,25,-6,25,-5,25,-5,25,-5,26,-4,25,0,0
CSI,118,-32,6,0,0,0,0,0,0,0,0,0,2,0,1,0,0,-1,-2,-1,-4,-1,-5,-2,-6,-2,-7,-2,-8,-3,-9,-3,-9,-3,-9,-3,-8,-3,-8,-3,-7,-3,-5,-2,-4,-2,-2,-1,0,-1,2,0,4,0,5,1,7,1,8,1,9,1,9,2,4,1,9,2,8,2,7,1,6,1,4,1,2,0,0,0,-2,0,-4,-1,-7,-1,-8,-1,-10,-1,-11,-1,-12,-1,-12,-1,-12,-1,-12,-1,-11,-1,-9,-1,-7,-1,-5,-1,-2,0,0,0,3,0,5,0,7,0,1,0,0,0,0,0,0,0,0,0,87,0,0,0,4,-26,4,-24,4,-24,5,-22,4,-22,5,-23,5,-23,4,-22,4,-22,3,-21,4,-22,4,-21,2,-18,4,-19,3,-19,3,-18,1,-18,1,-17,1,-16,-1,-17,1,-15,0,-17,1,-16,-1,-16,1,-15,-2,-15,-3,-14,-2,-14,-1,-14,-3,-14,-3,-14,-4,-14,-4,-13,-3,-14,-5,-14,-3,-13,-4,-14,-5,-14,-4,-14,-5,-14,-6,-14,-6,-14,-8,-13,-7,-15,-6,-14,-7,-14,-7,-15,-7,-15,-7,-16,-8,-14,-7,-14,-8,-14,-6,-14,-4,-14,-7,-15,-6,-15,-7,-16,0,0,0,0,0,0,0,0,14,-1,16,0,16,0,16,1,17,0,17,2,16,2,16,2,17,1,16,1,16,1,16,5,17,4,16,4,17,3,18,3,18,4,18,3,16,5,18,4,19,4,18,4,19,6,18,4,18,5,20,5,20,5,20,4,20,5,20,4,20,4,19,5,19,5,20,6,21,6,20,4,21,5,22,5,22,5,22,5,21,5,22,7,22,6,22,6,24,6,23,5,23,5,21,5,23,6,23,5,24,6,24,5,24,5,24,5,23,5,24,7,23,6,0,0,87,0,0,0,-8,-28,-11,-29,-11,-29,-11,-29,-11,-29,-11,-29,-11,-28,-10,-28,-11,-29,-12,-28,-10,-29,-12,-29,-12,-29,-10,-29,-12,-27,-13,-27,-12,-28,-11,-28,-12,-27,-13,-27,-13,-28,-12,-27,-11,-28,-10,-26,-11,-27,-13,-27,-13,-27,-13,-26,-11,-26,-12,-27,-12,-27,-11,-27,-11,-27,-12,-25,-11,-27,-12,-27,-11,-27,-9,-27,-10,-27,-9,-27,-11,-25,-12,-27,-9,-28,-10,-27,-10,-27,-8,-26,-7,-27,-8,-26,-8,-26,-8,-27,-6,-26,-6,-26,-4,-28,-3,-27,-5,-26,-4,-24,-3,-26,0,0,0,0,0,0,0,0,16,0,16,2,16,1,15,1,16,0,16,2,16,2,15,2,15,1,16,2,15,1,17,2,17,3,17,0,16,1,19,3,18,2,18,2,16,2,15,1,17,1,15,0,18,0,18,0,19,0,17,-1,17,1,18,1,18,-1,19,0,20,-2,18,-1,18,0,19,-1,20,-3,19,-2,21,-4,21,-3,21,-3,22,-2,22,-4,21,-2,21,-3,23,-4,22,-5,22,-6,23,-6,24,-7,24,-6,25,-6,25,-5,24,-7,25,-6,26,-8,25,-5,27,-7,26,-8,0,0
CSI,-43,80,13,0,0,0,0,0,0,0,2,-1,8,-4,8,-4,9,-4,9,-3,10,-3,10,-3,10,-2,10,-2,11,-2,11,-1,11,-1,11,-1,11,0,11,0,11,0,11,0,10,0,10,0,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,5,0,10,1,10,1,11,1,11,1,11,1,11,1,11,1,11,0,11,0,12,0,12,0,12,0,12,0,12,0,13,-1,13,0,14,-1,14,-1,14,-2,14,-2,15,-2,15,-2,15,-2,15,-3,15,-3,16,-4,4,-1,0,0,0,0,0,0,0,0
